,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_shrinkage,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,CV error
0,0.32820401191711424,0.09504397467858186,0.012408208847045899,0.020773353778743786,svd,,{'solver': 'svd'},0.8680555555555556,0.8784722222222222,0.8506944444444444,0.8645833333333334,0.8888888888888888,0.8701388888888889,0.012917413359540456,3,0.9635416666666666,0.9626736111111112,0.96875,0.9592013888888888,0.9644097222222222,0.9637152777777777,0.0030763967268523287,0,0,0.1298611111111111
1,0.5374335765838623,0.014091707638867102,0.031086444854736328,0.014590717195694498,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8993055555555556,0.9131944444444444,0.8541666666666666,0.9166666666666666,0.9201388888888888,0.9006944444444442,0.024315474166682772,1,0.9401041666666666,0.9401041666666666,0.9470486111111112,0.9409722222222222,0.9392361111111112,0.9414930555555557,0.002831511533038229,0,1,0.09930555555555576
2,0.5148055553436279,0.06311460149880237,0.03969697952270508,0.02550962579406234,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8993055555555556,0.9131944444444444,0.8541666666666666,0.9166666666666666,0.9201388888888888,0.9006944444444442,0.024315474166682772,1,0.9401041666666666,0.9401041666666666,0.9470486111111112,0.9409722222222222,0.9392361111111112,0.9414930555555557,0.002831511533038229,0,0,0.09930555555555576
0,0.3560023307800293,0.024520946872574927,0.023136043548583986,0.02467910626908366,svd,,{'solver': 'svd'},0.8680555555555556,0.9131944444444444,0.8402777777777778,0.8923611111111112,0.8645833333333334,0.8756944444444444,0.024980702428617975,3,0.9782986111111112,0.9661458333333334,0.96875,0.9644097222222222,0.9756944444444444,0.9706597222222223,0.005418224491085852,1,0,0.12430555555555556
1,0.5737617492675782,0.11806231099675804,0.03280234336853027,0.02067926626131131,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8888888888888888,0.9305555555555556,0.8819444444444444,0.9270833333333334,0.8958333333333334,0.9048611111111111,0.020078933742779137,1,0.9401041666666666,0.9322916666666666,0.9435763888888888,0.9366319444444444,0.9453125,0.9395833333333334,0.00470995137717033,1,1,0.09513888888888888
2,0.5117052078247071,0.13335473890089156,0.051738309860229495,0.01316727467335107,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8888888888888888,0.9305555555555556,0.8819444444444444,0.9270833333333334,0.8958333333333334,0.9048611111111111,0.020078933742779137,1,0.9401041666666666,0.9322916666666666,0.9435763888888888,0.9366319444444444,0.9453125,0.9395833333333334,0.00470995137717033,1,0,0.09513888888888888
0,0.3801721096038818,0.030646121664329416,0.022785425186157227,0.016134805940169313,svd,,{'solver': 'svd'},0.8923611111111112,0.875,0.8715277777777778,0.8784722222222222,0.8506944444444444,0.8736111111111111,0.013465777381712046,3,0.9678819444444444,0.9652777777777778,0.9670138888888888,0.9704861111111112,0.9748263888888888,0.9690972222222222,0.003321376123213359,2,0,0.12638888888888888
1,0.5123971462249756,0.03407178064539969,0.03774604797363281,0.021887260460532392,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.9201388888888888,0.9201388888888888,0.8888888888888888,0.9236111111111112,0.8784722222222222,0.90625,0.01876285567514764,1,0.9314236111111112,0.9340277777777778,0.9383680555555556,0.9305555555555556,0.9418402777777778,0.9352430555555555,0.004273796397601093,2,1,0.09375
2,0.5282242298126221,0.06271012889117747,0.05488424301147461,0.007728391837064108,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.9201388888888888,0.9201388888888888,0.8888888888888888,0.9236111111111112,0.8784722222222222,0.90625,0.01876285567514764,1,0.9314236111111112,0.9340277777777778,0.9383680555555556,0.9305555555555556,0.9418402777777778,0.9352430555555555,0.004273796397601093,2,0,0.09375
0,0.36766958236694336,0.01472732862840657,0.016872406005859375,0.021063897860692852,svd,,{'solver': 'svd'},0.8888888888888888,0.8680555555555556,0.8854166666666666,0.8923611111111112,0.8472222222222222,0.8763888888888889,0.01681072005126417,3,0.9713541666666666,0.9765625,0.9730902777777778,0.9704861111111112,0.9722222222222222,0.9727430555555555,0.0020977510370823863,3,0,0.12361111111111112
1,0.5279611587524414,0.015293078673156445,0.032991647720336914,0.009630124509355032,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.9131944444444444,0.90625,0.9027777777777778,0.9236111111111112,0.8680555555555556,0.9027777777777779,0.018762855675147634,1,0.9357638888888888,0.9392361111111112,0.9383680555555556,0.9366319444444444,0.9418402777777778,0.9383680555555556,0.002126293179499311,3,1,0.0972222222222221
2,0.562999677658081,0.07154481250189083,0.0405789852142334,0.0300528970607044,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.9131944444444444,0.90625,0.9027777777777778,0.9236111111111112,0.8680555555555556,0.9027777777777779,0.018762855675147634,1,0.9357638888888888,0.9392361111111112,0.9383680555555556,0.9366319444444444,0.9418402777777778,0.9383680555555556,0.002126293179499311,3,0,0.0972222222222221
0,0.48167786598205564,0.04472130453008293,0.02561192512512207,0.01157805490390201,svd,,{'solver': 'svd'},0.875,0.8576388888888888,0.8680555555555556,0.875,0.8854166666666666,0.8722222222222223,0.009160351359911752,3,0.9661458333333334,0.9696180555555556,0.9644097222222222,0.9678819444444444,0.96875,0.9673611111111111,0.001869848891366151,4,0,0.12777777777777766
1,0.5184802055358887,0.03486145191066134,0.030106449127197267,0.010947279337009038,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8958333333333334,0.8854166666666666,0.8993055555555556,0.90625,0.8923611111111112,0.8958333333333333,0.006944444444444453,1,0.9322916666666666,0.9383680555555556,0.9314236111111112,0.9348958333333334,0.9322916666666666,0.9338541666666668,0.0025397116038763643,4,1,0.10416666666666674
2,0.5657232761383056,0.05919409249219305,0.04126310348510742,0.016569310129402704,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8958333333333334,0.8854166666666666,0.8993055555555556,0.90625,0.8923611111111112,0.8958333333333333,0.006944444444444453,1,0.9322916666666666,0.9383680555555556,0.9314236111111112,0.9348958333333334,0.9322916666666666,0.9338541666666668,0.0025397116038763643,4,0,0.10416666666666674
