,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_shrinkage,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,Test error
0,0.1361869970957438,0.005156742678338045,0.0,0.0,svd,,{'solver': 'svd'},0.8625,0.8770833333333333,0.8604166666666667,0.8666666666666667,0.007414637675021718,3,0.971875,0.9729166666666667,0.9802083333333333,0.975,0.003707318837510869,0,0,0.1333333333333333
1,0.06282377243041992,0.00024412114405891714,0.0,0.0,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.8625,0.8770833333333333,0.8604166666666667,0.8666666666666667,0.007414637675021718,3,0.971875,0.9729166666666667,0.9802083333333333,0.975,0.003707318837510869,0,0,0.1333333333333333
2,0.06293392181396484,0.009381031235827708,0.0010429223378499348,0.0010960771249894996,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.8625,0.8770833333333333,0.8604166666666667,0.8666666666666667,0.007414637675021718,3,0.971875,0.9729166666666667,0.9802083333333333,0.975,0.003707318837510869,0,0,0.1333333333333333
3,0.08584841092427571,0.008270622559685656,0.00017340977986653647,0.00024523846253538873,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8854166666666666,0.8979166666666667,0.9083333333333333,0.8972222222222221,0.009368567752244487,1,0.9354166666666667,0.9395833333333333,0.9427083333333334,0.9392361111111112,0.002986918495500923,0,1,0.10277777777777786
4,0.09644714991251628,0.015348485972105058,0.000333865483601888,0.00047215709491804224,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8854166666666666,0.8979166666666667,0.9083333333333333,0.8972222222222221,0.009368567752244487,1,0.9354166666666667,0.9395833333333333,0.9427083333333334,0.9392361111111112,0.002986918495500923,0,0,0.10277777777777786
0,0.14181089401245117,0.01598168947547329,0.000356753667195638,0.0005045258745744088,svd,,{'solver': 'svd'},0.8791666666666667,0.8375,0.88125,0.8659722222222223,0.02015085851187069,3,0.975,0.9802083333333333,0.975,0.9767361111111111,0.002455231879119974,1,0,0.13402777777777775
1,0.07385706901550293,0.011129261800807417,0.0,0.0,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.8791666666666667,0.8375,0.88125,0.8659722222222223,0.02015085851187069,3,0.975,0.9802083333333333,0.975,0.9767361111111111,0.002455231879119974,1,0,0.13402777777777775
2,0.05368161201477051,0.0032284218683393397,0.001874367396036784,0.0026507557923451616,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.8791666666666667,0.8375,0.88125,0.8659722222222223,0.02015085851187069,3,0.975,0.9802083333333333,0.975,0.9767361111111111,0.002455231879119974,1,0,0.13402777777777775
3,0.08247844378153484,0.0044206150757697925,0.0,0.0,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.9104166666666667,0.8833333333333333,0.8895833333333333,0.8944444444444444,0.011578702778147973,1,0.9364583333333333,0.940625,0.940625,0.939236111111111,0.0019641855032960106,1,1,0.10555555555555562
4,0.09959451357523601,0.010356481108281124,0.005212624867757161,0.007371764783545439,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.9104166666666667,0.8833333333333333,0.8895833333333333,0.8944444444444444,0.011578702778147973,1,0.9364583333333333,0.940625,0.940625,0.939236111111111,0.0019641855032960106,1,0,0.10555555555555562
