,Classifier,Test error,Optimism,Tuned
0,KNN,0.075,0.024305555555555552,No
1,KNN,0.10625,0.048611111111111105,No
2,KNN,0.09375,0.03958333333333333,No
3,KNN,0.1,0.04236111111111111,No
4,KNN,0.06875,0.013888888888888895,No
5,KNN,0.0875,0.03194444444444444,No
6,KNN,0.075,0.018055555555555554,No
7,KNN,0.1,0.046527777777777786,No
8,KNN,0.06875,0.013888888888888895,No
9,KNN,0.1,0.05,No
10,KNN LargeK,0.10625,0.009027777777777773,No
11,KNN LargeK,0.15,0.04999999999999999,No
12,KNN LargeK,0.0875,-0.013888888888888895,No
13,KNN LargeK,0.15,0.04999999999999999,No
14,KNN LargeK,0.10625,0.0,No
15,KNN LargeK,0.125,0.02291666666666667,No
16,KNN LargeK,0.1125,0.0069444444444444475,No
17,KNN LargeK,0.11875,0.018055555555555547,No
18,KNN LargeK,0.0875,-0.01597222222222222,No
19,KNN LargeK,0.1,0.00208333333333334,No
20,LDA,0.1125,0.06736111111111112,No
21,LDA,0.15625,0.11805555555555555,No
22,LDA,0.10625,0.06527777777777777,No
23,LDA,0.16875,0.13125,No
24,LDA,0.1,0.05625000000000001,No
25,LDA,0.11875,0.08055555555555555,No
26,LDA,0.1125,0.07291666666666667,No
27,LDA,0.0875,0.04444444444444444,No
28,LDA,0.0875,0.04652777777777777,No
29,LDA,0.1125,0.07361111111111111,No
30,Random Forest,0.0875,0.0875,No
31,Random Forest,0.11875,0.11875,No
32,Random Forest,0.06875,0.06875,No
33,Random Forest,0.09375,0.09375,No
34,Random Forest,0.0625,0.0625,No
35,Random Forest,0.08125,0.08125,No
36,Random Forest,0.05,0.05,No
37,Random Forest,0.05625,0.05625,No
38,Random Forest,0.05625,0.05625,No
39,Random Forest,0.05625,0.05625,No
40,KNN,0.08750000000000002,0.08750000000000002,Yes
41,KNN,0.09375,0.09375,Yes
42,KNN,0.0625,0.0625,Yes
43,KNN,0.09999999999999998,0.09999999999999998,Yes
44,KNN,0.043749999999999956,0.002777777777777768,Yes
45,KNN,0.07499999999999996,0.07499999999999996,Yes
46,KNN,0.07499999999999996,0.01805555555555549,Yes
47,KNN,0.08750000000000002,0.04861111111111116,Yes
48,KNN,0.06874999999999998,0.06874999999999998,Yes
49,KNN,0.08750000000000002,0.046527777777777835,Yes
50,KNN LargeK,0.10624999999999996,0.015277777777777724,Yes
51,KNN LargeK,0.14375000000000004,0.0493055555555556,Yes
52,KNN LargeK,0.08750000000000002,-0.005555555555555536,Yes
53,KNN LargeK,0.125,0.033333333333333326,Yes
54,KNN LargeK,0.09999999999999998,0.002083333333333326,Yes
55,KNN LargeK,0.10624999999999996,0.014583333333333282,Yes
56,KNN LargeK,0.08750000000000002,-0.00694444444444442,Yes
57,KNN LargeK,0.11250000000000004,0.018055555555555602,Yes
58,KNN LargeK,0.08125000000000004,-0.011111111111111072,Yes
59,KNN LargeK,0.09999999999999998,0.009722222222222188,Yes
60,LDA,0.11250000000000004,0.0493055555555556,Yes
61,LDA,0.13749999999999996,0.07222222222222219,Yes
62,LDA,0.08750000000000002,0.02013888888888893,Yes
63,LDA,0.13749999999999996,0.07152777777777775,Yes
64,LDA,0.08125000000000004,0.009722222222222299,Yes
65,LDA,0.08750000000000002,0.02013888888888893,Yes
66,LDA,0.10624999999999996,0.039583333333333304,Yes
67,LDA,0.06874999999999998,-0.002777777777777768,Yes
68,LDA,0.09375,0.028472222222222232,Yes
69,LDA,0.09999999999999998,0.03402777777777777,Yes
70,Random Forest,0.0625,0.0625,Yes
71,Random Forest,0.09999999999999998,0.09999999999999998,Yes
72,Random Forest,0.07499999999999996,0.07499999999999996,Yes
73,Random Forest,0.09375,0.09375,Yes
74,Random Forest,0.06874999999999998,0.06874999999999998,Yes
75,Random Forest,0.07499999999999996,0.07499999999999996,Yes
76,Random Forest,0.043749999999999956,0.043749999999999956,Yes
77,Random Forest,0.050000000000000044,0.050000000000000044,Yes
78,Random Forest,0.03749999999999998,0.03749999999999998,Yes
79,Random Forest,0.07499999999999996,0.07499999999999996,Yes
